Player,Matches,Runs,Avg,SR,100,50,4,6
14,abhinav barath,3,42,14.0,100.0,0,0,5,1
15,abhishek nayar,50,672,13.44,117.27748691099475,0,0,55,20
16,abhishek porel,16,360,22.5,153.19148936170214,0,2,37,15
17,abhishek sharma,61,1377,22.57377049180328,155.94563986409966,0,7,128,73
18,abraham benjamin de villiers,170,5181,30.476470588235294,152.3823529411765,3,44,414,253
19,abrar kazi manohar,15,231,15.4,132.75862068965517,0,0,21,10
20,adam craig gilchrist,80,2069,25.8625,139.51449763991909,2,13,239,92
21,adam mathews,41,724,17.658536585365855,126.35253054101221,0,1,44,29
22,adam voges,7,181,25.857142857142858,126.57342657342659,0,0,15,3
23,adam zampa,5,15,3.0,62.5,0,0,1,0
24,aditya nath,10,90,9.0,91.83673469387756,0,0,7,2
25,afghanistan rashid,2,22,11.0,146.66666666666666,0,0,2,1
26,aiden blizzard,7,120,17.142857142857142,133.33333333333331,0,1,21,2
27,aiden markram,42,995,23.69047619047619,130.23560209424085,0,5,73,35
28,ajantha hosein,1,16,16.0,160.0,0,0,1,1
29,ajinkya madhukar rahane,171,4642,27.146198830409357,123.55602874634017,2,32,479,103
30,ajinkya rahane roy,6,26,4.333333333333333,108.33333333333333,0,0,3,0
31,ajit bhalchandra agarkar,18,179,9.944444444444445,118.5430463576159,0,0,13,5
32,akash deep,3,19,6.333333333333333,158.33333333333331,0,0,2,1
33,akash madhwal,1,4,4.0,80.0,0,0,0,0
34,akash mithun,6,34,5.666666666666667,130.76923076923077,0,0,4,1
35,akila dananjaya,1,4,4.0,80.0,0,0,0,0
36,akshar patel,112,1653,14.758928571428571,131.2946783161239,0,3,107,79
37,akshay palkar dole,2,34,17.0,154.54545454545453,0,0,3,1
38,akshay paunikar,5,49,9.8,89.0909090909091,0,0,9,0
39,akshay tare,27,339,12.555555555555555,124.63235294117648,0,1,40,11
40,alex carey,3,32,10.666666666666666,110.34482758620689,0,0,0,1
41,alexander hales,6,148,24.666666666666668,126.49572649572649,0,0,13,6
42,alfred milne,6,23,3.8333333333333335,79.3103448275862,0,0,0,1
43,alzarri joseph,5,27,5.4,84.375,0,0,3,0
44,aman hakim khan,10,115,11.5,110.57692307692308,0,1,8,6
45,aman tomar,1,4,4.0,50.0,0,0,1,0
46,ambati thirupathi rayudu,185,4348,23.502702702702702,128.2217634915954,1,23,359,173
47,amir gul murtaza,3,10,3.3333333333333335,71.42857142857143,0,0,1,0
48,amit chandila,2,4,2.0,57.14285714285714,0,0,0,0
49,amit choudhary,3,25,8.333333333333334,125.0,0,0,1,1
50,amit majumdar,4,87,21.75,114.4736842105263,0,0,7,2
51,amit mishra,55,381,6.927272727272728,91.36690647482014,0,0,31,5
52,amit singh menaria,23,401,17.434782608695652,113.27683615819208,0,0,24,18
53,an ghosh,2,7,3.5,87.5,0,0,1,0
54,andre russell,104,2488,23.923076923076923,176.83013503909027,0,11,171,209
55,andrew mascarenhas,11,79,7.181818181818182,101.28205128205127,0,0,5,1
56,andrew mcdonald,9,123,13.666666666666666,123.0,0,0,9,4
57,andrew symonds,36,974,27.055555555555557,130.73825503355704,1,6,74,41
58,andrew thomas,4,20,5.0,105.26315789473684,0,0,1,1
59,andrew tye,13,91,7.0,121.33333333333334,0,0,6,5
60,anil kumble,15,35,2.3333333333333335,74.46808510638297,0,0,3,0
61,anirudh singh,4,63,15.75,95.45454545454545,0,0,6,1
62,ankit sharma,10,87,8.7,129.8507462686567,0,0,7,4
63,ankit soni,3,7,2.3333333333333335,77.77777777777779,0,0,0,1
64,anmolpreet singh,9,139,15.444444444444445,120.8695652173913,0,0,19,3
65,anrich nortje,13,49,3.769230769230769,100.0,0,0,6,0
66,anuj rawat,21,318,15.142857142857142,119.10112359550563,0,1,26,14
67,anureet singh,8,36,4.5,76.59574468085107,0,0,2,1
68,anwar ali ahmed,6,36,6.0,138.46153846153845,0,0,4,1
69,arjun kamboj,1,2,2.0,100.0,0,0,0,0
70,arjun tendulkar,1,13,13.0,144.44444444444443,0,0,0,1
71,arshad khan,7,101,14.428571428571429,146.3768115942029,0,1,6,6
72,arshdeep singh,11,29,2.6363636363636362,72.5,0,0,4,0
